dead_line,name,primary_supervisor,project_description,project_link,supervisor_email
18 July 2022,Family Based Care/UTAS Reablement,Prof Steve Campbell,"This PhD scholarship builds upon the funded reablement project, in partnership with Family Based Care in Northern Tasmania. The study will explore ways in which clients and carers of clients of Family Based Care can be engaged better with the reablement process.  Outcomes are likely to be structures and processes that provide better support for these clients and carers in the community. It fits into the Aged Care priority for the School of Nursing, as well as Health Services research.",https://www.utas.edu.au/research/degrees/available-projects/projects/nursing/family-based-careutas-reablement,https://www.utas.edu.au/profiles/staff/health/steven-campbell
18 July 2022,Enhanced sensory care for older people,Dr Sara Karacsony,This project is part of a larger research program in the School of Nursing that focuses on frailty in older people.,https://www.utas.edu.au/research/degrees/available-projects/projects/nursing/enhanced-sensory-care-for-older-people3,https://www.utas.edu.au/profiles/staff/health-school-of-nursing/sara-karacsony
18 July 2022,Magnetohydrodynamic simulations of supermassive black hole jets,A/Prof Stas Shabala,"Accretion of matter onto supermassive black holes at the centres of galaxies releases the most energetic outbursts in the Universe. Resultant jets of synchrotron-emitting plasma, visible to radio telescopes, burrow through the surrounding gas. This gas is the raw fuel from which stars are made, and by imparting some of their energy to it the black hole jets are known to regulate the star formation history of the most massive galaxies.",https://www.utas.edu.au/research/degrees/available-projects/projects/physics/magnetohydrodynamic-simulations-of-supermassive-black-hole-jets,https://www.utas.edu.au/profiles/staff/natural-sciences/stas-shabala
18 July 2022,Co-designed frailty indicators,A/Prof Melanie Greenwood,"Frailty is a syndrome of physiological decline that occurs later in the life trajectory associated with increased vulnerability to adverse health outcomes (Wryko 2015). Frailty identification and subsequent management has implications for individuals, clinical practice, and public health. As the population of older people increases, frailty is recognised as a growing health burden with increased health concerns, including poor quality of life, increased falls and poor mobility, admission to residential care or hospitalisation. Evidence based frailty screening tools are available, but their usability and relationship to caregivers is not known. This project will use a co-design mixed methods research study to examine the factors that contribute toward generation of frailty scores and how they can be adapted for use by caregivers and the elderly to escalate decisions for quality-of-life care.",https://www.utas.edu.au/research/degrees/available-projects/projects/nursing/co-designed-frailty-indicators,https://www.utas.edu.au/profiles/staff/health/melanie-greenwood
18 July 2022,Opioid-related harm in the elderly,Prof Gregory Peterson,This project will examine the medicine-related harms associated with opioid use in older individuals. It will encompass a literature review as well as data collection e.g. examining Tasmanian hospital admissions associated with opioid medication using hospital administrative data and medical records.,https://www.utas.edu.au/research/degrees/available-projects/projects/pharmacy-and-pharmacology/opioid-related-harm-in-the-elderly,https://www.utas.edu.au/profiles/staff/pharmacy/gregory-peterson
18 July 2022,The last 1000 days with chronic disease,Prof Matthew Jose,"Kidney failure was previously an untreatable fatal illness, but treatments such as dialysis are now widely available. It is an imperfect treatment, with a significant burden in some, particularly older people, contributing to a progressive decline in quality of life. Similar to other chronic diseases, the information currently available to inform elderly people does not always address their needs and is somewhat limited, particularly around the consequences of not having dialysis treatment.",https://www.utas.edu.au/research/degrees/available-projects/projects/medicine/the-last-1000-days-with-chronic-disease,https://www.utas.edu.au/profiles/staff/medicine/matthew-jose
18 July 2022,Public health approaches to Ambulance Tas data,A/Prof Dale Edwards,Ambulance Tasmania provides emergency and non-emergency services to people requiring medical assistance and/or transportation.  Demand for ambulance services is growing at an unsustainable rate. The utilisation of ambulance services grew 14 times faster than Tasmania’s population from 2003 to 2017.,https://www.utas.edu.au/research/degrees/available-projects/projects/medicine/public-health-approaches-to-ambulance-tas-data,https://www.utas.edu.au/profiles/staff/health/dale-edwards
18 July 2022,Paramedics and emergency dental care,Dr Silvana Bettiol,"The public health burden of dental injuries is great, with immediate and long-term costs and consequences at individual, family and community levels. Immediate burdens include the acute management of the injury, which is often painful or distressing for the individual and their families. This is further complicated because a dental emergency is a severe medical situation and requires immediate attention at a dental facility for consideration. In general, hospital emergency rooms do not have a dentist on staff.Response of paramedic services is essential in these situations, as time elapsed between injury and commencing emergency dental management affects trauma sequelae and its long-term consequences. There are recommendations that avulsions and dental alveolar fractures in permanent teeth should be managed within 3 hours. Long-term consequences include disfigurement and repeated episodes of treatment, impacting quality of life and economic productivity of patients and families.",https://www.utas.edu.au/research/degrees/available-projects/projects/medicine/Paramedics-and-emergency-dental-care,https://www.utas.edu.au/profiles/staff/health/silvana-bettiol
18 July 2022,Optogenetic and sonogenetic with TRPA1,Dr John Lin,"The project is part of the funded (and extended) ARC fellowship (2016-2022) aimed to develop a novel optogenetic and sonogenetic approach to manipulate neuronal membrane excitability. Our laboratory has previously developed novel channelrhodopsin mutants to manipulate neuronal membrane excitability but channelrhodopsins suffer from low conductance and lack spectral separation. Using photosensitising fluorescent proteins or fluorescent dyes and the mammalian membrane channel that can be activated by reactive oxygen species, we have established that it is possible to use light to control membrane excitability with better spectral separation and high efficiency. The project will aim to further validate and characterise the approach, develop ways to deliver the tools using recombinant virus and test whether the approach can be modified to become a multi-modal neuromodulatory approach to control neuronal excitability with ultrasound. This project will develop important and novel tools for general neuroscientific research that address the current shortcomings and limitations of current tools and contribute to the tools available to the international neuroscientific research communities.",https://www.utas.edu.au/research/degrees/available-projects/projects/medicine/optogenetic-and-sonogenetic-with-trpa1,https://www.utas.edu.au/profiles/staff/health/john-lin
18 July 2022,Novel methods for helping smokers to quit,Prof Stuart Ferguson,"Despite decades of work by public health researchers and policy makers cigarette smoking remains one of the leading causes of preventable death and disease. There is a clear need to both develop novel smoking cessation methods, and to design and implement public health interventions that encourage smokers to try to quit. This project will focus on these two objectives.",https://www.utas.edu.au/research/degrees/available-projects/projects/medicine/novel-methods-for-helping-smokers-to-quit,https://www.utas.edu.au/profiles/staff/umore/stuart-ferguson
18 July 2022,Measurement of neuropeptide release,Dr John Lin,"The project is part of the funded NHMRC grant (2021-2023) aims utilise a novel fluorescent sensor to measure the release of neuropeptides in vivo during a rodent model of learning and memory. The peptides of interests, oxytocin and AVP, are known to associate with the emotional response associated with learning and formation of memory. Using a GPCR-based fluorescent sensor from a collaborator, Professor Yu-long Li and a custom-built fibre photometry system, the project will measure the release of oxytocin and AVP in real-time in freely moving animal as they undergo fear-conditioning learning. A second aim of the project is to develop an alternative system of measuring neuropeptide release using releasable fluorescent protein fragments as a surrogate for amount of neuropeptide release. This second aim was part of a grant previously funded by NIH in which the amount of fluorescence from complemented fluorescent proteins will inform us the amount of neuropeptide release during the behaviour in post-mortem histology. These projects will both develop and validate novel technologies for neuroscientific researches and also uncovers important roles of neuropeptides in neurophysiological functions.",https://www.utas.edu.au/research/degrees/available-projects/projects/medicine/measurement-of-neuropeptide-release,https://www.utas.edu.au/profiles/staff/health/john-lin
18 July 2022,Fit for purpose medical professionals,Dr Jennifer Ayton,"Leading the growing international recognition of the need for public health and sustainability in healthcare delivery, the Australian Medical Council (AMC) has mandated that newly qualified doctors must be able to apply the principles of social-population health to medical practice.  However, there is little consensus to how these principles are taught.",https://www.utas.edu.au/research/degrees/available-projects/projects/medicine/fit-for-purpose-medical-professionals,https://www.utas.edu.au/profiles/staff/health/jennifer-ayton-hargrave
18 July 2022,Evaluating a Mental Health Co-Responder Program,A/Prof Dale Edwards,"People experiencing an acute mental health crisis often rely on ambulance and emergency department services as their primary point of access for health services. Recent years have seen substantial growth in ambulance service workloads, approximately 10% of which are mental health emergencies.  People seeking assistance for crisis situations can often face significant wait times due to service demands.  To address these delays and improve access to services, a pilot Mental Health Co-Responder Program is being implemented in Southern Tasmania, operated jointly by Tasmanian Mental Health Services, Ambulance Tasmania and Tasmania Police.",https://www.utas.edu.au/research/degrees/available-projects/projects/medicine/evaluating-a-mental-health-co-responder-program,https://www.utas.edu.au/profiles/staff/health/dale-edwards
18 July 2022,Clinical handover improvement follow-up,Dr Kwang Yee,"Medical errors are common. One of the highest risk activities in clinical practice is during clinical care transition, such as clinical handover, patient care transfer or discharge.",https://www.utas.edu.au/research/degrees/available-projects/projects/medicine/clinical-handover-improvement-follow-up,https://www.utas.edu.au/profiles/staff/health/kwang-chien-yee
18 July 2022,Antibody mimetics for synapse modulation,Dr John Lin,"The project is part of the funded NHMRC grant (2021-2024) and will develop several antibody mimetic protein domains that can modulate the synaptic functions of neurons. Alteration of synaptic function is implicated in all neurological conditions and this either takes the form of reduced synaptic transmission or incorrect changes in synaptic strength. One of the key approaches to understand synaptic function is to experimentally manipulate proteins at the synapse but these often is done at transcription or translation level, or involves overexpression of exogenous altered proteins. The ability to be able to manipulate the native proteins expressed in the cells would provide a more accurate insight into understanding synaptic function and reflect the true functions of synaptic proteins. To do this, the project will develop single-domain antibody domain or fibronectin III domain based antibody mimetics that can be expressed intracellularly and bind to native synaptic proteins. In doing so, these proteins can either act as activator or inhibitors of the protein function directly, modified to alter the rate of degradation, or modified to be optogenetically or chemogenetically controlled. The goal of the project is first to establish a pipeline to develop the single-domain nanobody and fibronectin III domains based on mRNA- and phage-display approaches and develop the binders to the intracellular domain of BDNF receptor TrkB and calcium dependent phosphatase calcineurin. TrkB is implicated in long term potentiation and calcineurin is implicated in long term depression which are key mechanism of changing synaptic strength and believed to be the cellular basis of learning and memory formation. Once the 'hits' are identified, these protein domains will be validated in cell culture for selective binding in the cells and screen for functional disruption of these proteins. Ultimately, the some hits will be further developed as neuroscience tools to optogenetically alter synaptic plasticity.",https://www.utas.edu.au/research/degrees/available-projects/projects/medicine/antibody-mimetics-for-synapse-modulation,https://www.utas.edu.au/profiles/staff/health/john-lin
18 July 2022,Walkability in rural communities,Associate Professor Verity Cleland,"Regular physical activity plays an important role in maintaining good health and preventing conditions like heart disease, type 2 diabetes, and hypertension. Physical activity is lower, and rates of these conditions higher, in rural Australia. The built and natural environments where we live, work and play influence how active we are, yet research around environmental influences on physical activity is largely urban-focused. This urban research suggests more 'walkable' environments support physical activity, but currently little is known about how to measure walkability or what the key barriers and enablers to walkability are in rural communities.",https://www.utas.edu.au/research/degrees/available-projects/projects/medical-research/walkability-in-rural-communities,https://www.utas.edu.au/profiles/staff/menzies/verity-cleland
18 July 2022,The impact of the gut microbiome on bone health in children,Dr Lieke Scheepers,"Over 1 million Australians suffer from osteoporosis, and this is likely to increase due to our ageing population and sedentary behaviour. The importance of bone acquisition in childhood and adolescence to optimize peak bone mass has been recognized as one of the key strategies in the prevention of osteoporotic fractures. A better understanding of the determinants of bone acquisition from infancy through childhood is therefore of fundamental importance to the prevention of osteoporosis in adulthood.",https://www.utas.edu.au/research/degrees/available-projects/projects/medical-research/the-impact-of-the-gut-microbiome-on-bone-health-in-children,https://www.utas.edu.au/profiles/staff/menzies/lieke-scheepers
18 July 2022,"Sleep, obesity and cardiometabolic health",Dr Jing Tian,"Cardiometabolic disease (cardiovascular disease and type 2 diabetes) is the leading cause of mortality worldwide, with premature deaths preventable. Much of the prevention effort is focused on lifestyle modification and management of clinical risk factors in older adults but risk factors emerge as early as childhood, such as sleep-related characteristics including its duration, quality, and timing. Adequate sleep is important for children’s healthy growth, learning and development. Insufficient sleep has been linked to a range of detrimental physical and psychosocial health problems. Over the past century, there have been rapid declines in the sleep duration among children and adolescents, with over half of middle school students and approximately three quarters of high school students did not get recommended amount of sleep.","https://www.utas.edu.au/research/degrees/available-projects/projects/medical-research/sleep,-obesity-and-cardiometabolic-health",j.tian@utas.edu.au
18 July 2022,Rare variant identification for preeclampsia,Prof Eric Moses,"Preeclampsia is a complex pregnancy specific disorder characterized by new onset hypertension and proteinuria affecting 3 - 8% of pregnant women. Preeclampsia is known to be a heritable disease and while there has been success in the identification of some genes, these identified variants do not explain all the expected genetic variation.  This project aims to identify novel rare genetic variation in families with a history of preeclampsia that may explain some of this “missing heritability”. You will use advanced bioinformatic workflows for whole-genome-sequencing to identify novel rare variants that segregate with preeclampsia in these families. Independent cohorts and publicly available databases will then be used to further screen these variants. This information will then be integrated with transcriptomic and epigenomic datasets to prioritise potential functional or regulatory variants associated with preeclampsia. This will provide new information on the molecular aetiology of preeclampsia and in the future may help identify those women most at risk of developing this disease.",https://www.utas.edu.au/research/degrees/available-projects/projects/medical-research/rare-variant-identification-for-preeclampsia,eric.moses@utas.edu.au
18 July 2022,"Potentially Preventable Hospitalisations (PPH) in Tasmania: who, why and where?",Dr Barbara de Graaff,"Many health conditions can be effectively managed and treated in primary and community health care. If this care is unavailable or not accessed, individuals may require hospital care that was avoidable. Such hospital admissions are referred to as Potentially Preventable Hospitalisations (PPHs), and are used as a proxy measure of the effectiveness of primary and community health care. Twenty-two health conditions have been identified by the Australian Commission on Safety and Quality in Health Care as PPHs.","https://www.utas.edu.au/research/degrees/available-projects/projects/medical-research/potentially-preventable-hospitalisations-pph-in-tasmania-who,-why-and-where",https://www.utas.edu.au/profiles/staff/menzies/barbara-de-graaff
18 July 2022,Onset-specific health economics of multiple sclerosis,Prof Andrew Palmer,"Multiple sclerosis (MS) is a complex autoimmune/neurodegenerative disease in which the myelin sheath covering nerve fibres in the central nervous system (brain, optic nerves and spinal cord) is damaged, leading to increasing disability over time, which in turn, negatively impacts individuals’ health-related quality of life (HRQoL) and poses a significant economic burden to patients and society in terms of both direct (healthcare) and indirect costs (from lost productivity). According to the onset type, people with MS can be grouped into the categories of relapse onset MS (ROMS) including relapsing forms of MS (i.e., relapsing remitting MS and secondary progressive MS) and progressive onset MS (PROMS) including primary progressive MS and progressive relapsing MS.",https://www.utas.edu.au/research/degrees/available-projects/projects/medical-research/onset-specific-health-economics-of-multiple-sclerosis,https://www.utas.edu.au/profiles/staff/menzies/andrew-palmer
18 July 2022,Oligodendrocytes support learning,A/Prof Kaylene Young,"New oligodendrocytes are added to the mature nervous system and produce myelin that is critical for preserving movement and memories.  Furthermore, during spatial learning “old oligodendrocytes” changed the shape of their myelin to dynamically speed up information transfer.  This increased the velocity of action potentials leaving the hippocampus, a brain region critical for learning and memory (Cullen CL et al., Cell Reports, 2021).  We seek two PhD students to undertake in vivo neuroscience research projects that involve applying cutting edge transgenic technology, optogenetics, transcriptomics and microscopy to identify the signalling mechanisms that allow oligodendrocytes to respond to changes in their environement and remain plastic to support life-long learning.",https://www.utas.edu.au/research/degrees/available-projects/projects/medical-research/oligodendrocytes-support-learning,https://www.utas.edu.au/profiles/staff/menzies/kaylene-young
18 July 2022,Obesity and musculoskeletal pain,Dr Feng Pan,"Musculoskeletal pain is a major public health burden worldwide. It is common in the general population with a prevalence estimated as high as 70%, leading to restrictions in physical function and mobility impairments including reduced quality of life and disability. Obesity is often comorbid with musculoskeletal pain. We have demonstrated that obesity and fat mass are associated with musculoskeletal pain occurring in non-weightbearing joints and obesity-related factors (e.g., metabolic syndrome) increase the risk of experiencing severe pain. However, the two conditions may be related reciprocally in a bidirectional manner and the precise mechanisms underlying the two phenomena have not been clear. This project will address this gap and examine the mechanistic links between obesity and obesity-related factors and musculoskeletal pain based on two large population-based cohorts. It will utilize genetic and observational longitudinal data.",https://www.utas.edu.au/research/degrees/available-projects/projects/medical-research/obesity-and-musculoskeletal-pain,https://www.utas.edu.au/profiles/staff/menzies/feng-pan
18 July 2022,Motor function and dementia,A/Prof Michele Callisaya,"There is emerging evidence for motor biomarkers in dementia risk assessments. For example slow gait speed at preferred speed is associated with future risk of dementia.  However, the association between other motor functions such as dual-task walking, fast pace walking, frailty and hand function with cognition, is not yet fully understood.  Such simple and inexpensive tests would be extremely useful if able to help predict who might develop dementia.",https://www.utas.edu.au/research/degrees/available-projects/projects/medical-research/motor-function-and-dementia,https://www.utas.edu.au/profiles/staff/menzies/michele-callisaya
18 July 2022,Molecular drivers of prostate cancer metastasis,Prof Jo Dickinson,"The vast majority of deaths associated with solid tumours are due to metastatic disease. Aggressive prostate cancers (PrCa) are particularly problematic as these tumours have a high propensity to metastasise to bone. Five-year survival for men with bone metastatic PrCa lesions is ~6%, and current therapies available are both limited and largely ineffective. Lethality-based genome-wide (CRISPR/Cas9) screens are an innovative technique used to uncover the genes that underpin complex disease, the outcomes of which are seeding important advances particularly for cancer treatment. We have performed a successful lethality-based genome-wide screen in an aggressive prostate cancer cell line (isolated from a patient with bone metastases) and identified several mitochondrial-associated genes as the top ranked genes driving survival and metastatic behaviour. Mitochondria, as the cell’s powerhouse, are known to sustain tumour cell proliferation and survival, and this project seeks to uncover how these genes are critical to the metastatic cell state in PrCa, and further how this knowledge can be harnessed to develop much needed therapeutic interventions for metastatic disease. Our close clinical collaboration with both public and private prostate cancer treatment service providers has enabled us to develop a rare clinically annotated biospecimen resource comprising matched primary and metastatic tumour specimen.",https://www.utas.edu.au/research/degrees/available-projects/projects/medical-research/molecular-drivers-of-prostate-cancer-metastasis,https://www.utas.edu.au/profiles/staff/menzies/joanne-dickinson
18 July 2022,Literacy as a fundamental social determinant of (mental) health,Dr Amanda Neil,"Good brain health is an emerging concept that the WHO has defined as a state in which every individual can optimise their cognitive, emotional, psychological, and behavioural functioning; not merely the absence of disease. Brain health has been postulated as the key to health, the brain “the agent of all our actions and the mediator of all our experiences”. With a strong association between social disadvantage and poor mental health, poverty, childhood adversity, and violence are key individual risk factors for mental disorders. Most mental health conditions begin in childhood and given long-term and pervasive impacts, prevention through to recovery are thus societal and economic imperatives.",https://www.utas.edu.au/research/degrees/available-projects/projects/medical-research/literacy-as-a-fundamental-social-determinant-of-mental-health,https://www.utas.edu.au/profiles/staff/menzies/amanda-neil
18 July 2022,Investigating chronic plantar heel pain,Prof Tania Winzenberg,"CPHP is a chronic musculoskeletal condition that affects up to 10% of adults in their lifetime. It is the most common reason why individuals with musculoskeletal foot pain consult a healthcare practitioner, and is frequently recalcitrant to treatment.",https://www.utas.edu.au/research/degrees/available-projects/projects/medical-research/investigating-chronic-plantar-heel-pain,https://www.utas.edu.au/profiles/staff/menzies/tania-winzenberg
18 July 2022,Identifying acute stroke triggers,A/Prof Seana Gall,"When Mrs Smith presents to hospital following her ischaemic stroke, we can tell her that her high BP, obesity, and history of smoking contributed to her stroke, but we cannot answer the question of ‘Why did this happen to me now?’. When talking to a person who has had a stroke, he or she will offer explanations for why it happened on that Tuesday, at that time, with common responses including that they were doing something strenuous or were feeling very stressed. There is reasonable evidence from small studies of varying quality that acute alcohol abuse and infection are acute risk factors of stroke, but the scientific reality is that we do not understand the acute triggers of stroke very well. This project aims to identify these acute risk factors to improve management and reduce the incidence of stroke.",https://www.utas.edu.au/research/degrees/available-projects/projects/medical-research/identifying-acute-stroke-triggers,https://www.utas.edu.au/profiles/staff/menzies/seana-gall?elqTrackId=62e260115abe441a811bc94d2370c3a1&elqaid=269&elqat=2
18 July 2022,Healthy lifestyle score and CVD health,Dr Jing Tian,"Cardiometabolic disease (including cardiovascular disease (CVD) and type 2 diabetes) is the leading cause of morbidity and mortality globally and in Australia, with premature deaths largely preventable. Much of the prevention effort is focused on lifestyle modification and management of clinical risk factors in older adults but risk factors are common at young ages. Their prevalence estimates in young adults aged 18 to 44 from the 2017-18 Australian Health Survey confirm this: overweight and obesity (58.7%), physical inactivity (80.6%), less than recommended intake of fruit and vegetables (96%) and smoking (16.9%). Investigation of lifestyle risk factors can be complex because they often coexist (i.e. people with overweight or obesity are more likely to be physically inactive), thus a healthy lifestyle score has been used to summarise lifestyle risk factors as a whole. Few longitudinal studies have examined the longitudinal associations of healthy lifestyle scores from childhood to adulthood with cardiometabolic health outcomes in adulthood.",https://www.utas.edu.au/research/degrees/available-projects/projects/medical-research/healthy-lifestyle-score-and-cvd-health,https://rmdb.research.utas.edu.au/public/rmdb/q/indiv_detail_warp_trans/39393
18 July 2022,Health literacy and cardiovascular health,Dr Rachel Climie,"Background. Cardiovascular disease (CVD) remains the leading cause of death worldwide. While overt CVD may not appear until later in life, the risk factors for CVD begin to develop in childhood and are associated with adverse outcomes in adulthood. Although a large amount of the burden of CVD can be attributed to modifiable behavioural risk factors, a major challenge is initiating and maintaining behaviour change, which may in part be due to inadequacies in health literacy. Whilst health promotion activities are common in the school environment, unless children are health literate such activities will never be sustainable, because health promotion cannot be achieved in isolation from health literacy. Tasmanian children have some of the worst health profiles in the nation (30% of children are overweight compared to 25% nationally). Thus, there is a critical need to develop effective and feasible strategies to better the cardiovascular health (CVH) of some of Australia’s most unhealthy children, to stem the future burden of CVD.",https://www.utas.edu.au/research/degrees/available-projects/projects/medical-research/health-literacy-and-cardiovascular-health,Rachel.Climie@utas.edu.au
18 July 2022,"Fitness, cardiovascular risk, and exercise blood pressure",Dr Martin Schultz,"Cardiovascular disease (CVD) is the greatest cause of morbidity worldwide, and high blood pressure (BP) is the number one risk factor for CVD. One in three Tasmanian adults has high BP, the highest prevalence in Australia. Many more have undiagnosed or inadequately managed high BP, further increasing CVD risk. Thus, we have an urgent and currently unmet need for improved and easily implemented methods for better detection and management of high BP and its associated CVD risk.","https://www.utas.edu.au/research/degrees/available-projects/projects/medical-research/fitness,-cardiovascular-risk,-and-exercise-blood-pressure",https://www.utas.edu.au/profiles/staff/menzies/martin-schultz
18 July 2022,"Finances, Employment and Prostate Cancer",Dr Jessica Roydhouse,"Financial toxicity, or the financial impact of the treatment of cancer, is a growing issue for people affected by cancer. The impact of cancer on employment, for both people with cancer and their carers and families, can be significant. People with cancer or their carers in rural and regional areas may experience additional challenges.","https://www.utas.edu.au/research/degrees/available-projects/projects/medical-research/finances,-employment-and-prostate-cancer",https://www.utas.edu.au/profiles/staff/menzies/jessica-roydhouse
18 July 2022,Exploring the health benefits of greater fitness,A/Prof Costan Magnussen,"In Australia, we are in the enviable position to have the Childhood Determinants of Adult Health (CDAH) Study, which is based out of the Menzies Institute for Medical Research. The CDAH Study is the only established study worldwide that has collected multiple physical fitness measurements, including cardiorespiratory fitness and muscular fitness, on participants when they were children, followed them for over three decades and assessed their health and fitness as adults. In adulthood, a range of measures have been collected, including a blood and urine sample, heart and blood vessel measures, blood pressure, measures of adiposity, diet, and depression. As such, we are uniquely placed to address global research gaps by identifying how physical fitness measured at multiple time-points across someone’s life is associated with a range of health outcomes. To provide an overview of how our research group has contributed to current understanding, using data collected from the CDAH Study we have shown that children with higher levels of physical fitness are less likely to develop risk factors for diabetes and heart attack, such as prediabetes, metabolic syndrome, insulin resistance, beta cell function, obesity, inflammation, and blood lipids, up to 30 years later in adulthood. However, knowledge gaps remain.",https://www.utas.edu.au/research/degrees/available-projects/projects/medical-research/exploring-the-health-benefits-of-greater-fitness,
18 July 2022,Evaluating the clinical utility of osteoarthritis pain phenotypes,Dr Feng Pan,"Osteoarthritis (OA) is the most common form of arthritis and is the leading cause of pain and disability. With the growing aging population, along with the increase in obesity, OA has become a huge societal and economic burden in the developed world. Despite this, there are no effective disease-modifying OA drugs and the existing pain therapies have limited efficacy and a substantial risk of adverse events. OA pain is highly heterogeneous, with pain presentations varying among patients. Therefore, it is not surprising to see far disappointing results from “one-size fits all” treatment approaches in OA pain patients. This project will directly address this need by identifying pain phenotypes and providing an optimal patient selection tool.",https://www.utas.edu.au/research/degrees/available-projects/projects/medical-research/evaluating-the-clinical-utility-of-osteoarthritis-pain-phenotypes2,https://www.utas.edu.au/profiles/staff/menzies/feng-pan
18 July 2022,Evaluating the benefits of ultra-low emission wood heaters,Prof Fay Johnston,"Wood burning is a popular choice for home heating in Tasmania. The consequence is unacceptably high concentrations of air pollution during the colder months in many regions of the state, which has been clearly associated with increased rates of mortality, heart and lung diseases. Newer design ultra-low emissions (ULE) wood burning heaters could potentially offer a solution for regions where wood is a readily available cheaper heating option.",https://www.utas.edu.au/research/degrees/available-projects/projects/medical-research/Evaluating-the-benefits-of-ultra-low-emission-wood-heaters,https://www.utas.edu.au/profiles/staff/menzies/fay-johnston
18 July 2022,Eliminating hepatitis B in remote Indigenous settings: generating health economic evidence,Dr Barbara de Graaff,"Chronic hepatitis B (CHB) is endemic across Northern Territory (NT) Indigenous communities with prevalence up to five times the national rate. One in four people with CHB will die from decompensated cirrhosis or liver cancer without appropriate care and treatment. In turn, liver disease is the third",https://www.utas.edu.au/research/degrees/available-projects/projects/medical-research/eliminating-hepatitis-b-in-remote-indigenous-settings-generating-health-economic-evidence,https://www.utas.edu.au/profiles/staff/menzies/barbara-de-graaff
18 July 2022,Comparative Effectiveness of Treatments for Osteoarthritis,Dr Benny Antony,"Osteoarthritis is a common joint disorder for which there is no cure. Recommendations for the symptomatic management of osteoarthritis include exercise, weight control, education, and self-management as the core treatment option. Muscle-strengthening exercise is effective at improving pain and function in knee osteoarthritis.",https://www.utas.edu.au/research/degrees/available-projects/projects/medical-research/comparative-effectiveness-of-treatments-for-osteoarthritis,Benny.EathakkattuAntony@utas.edu.au
18 July 2022,Brain correlates of falls,Dr Michele Callisaya,"There is growing awareness of the interplay between cognition and gait in relation to both falls and dementia in older people.  This project aims to gain a better understanding of the underlying brain structures and areas that underlie this relationship.This observational study will include participants from 1) the Tasmanian Study of Cognition and Gait – a population based study of people 60-85 years (n=400) followed up over 4.5 years and 2) the ISLAND Clinic, which is the Tasmanian Dementia and Cognition Clinic located in the Clinical Research Facility of UTAS, Hobart. This project will examine the underling brain pathways of sensorimotor function, cognition and falls in older people.Specific research questions include:",https://www.utas.edu.au/research/degrees/available-projects/projects/medical-research/brain-correlates-of-falls,https://www.utas.edu.au/profiles/staff/menzies/michele-callisaya
18 July 2022,Australian Multiple Sclerosis Carers Study,Dr Julie Campbell,Background:,https://www.utas.edu.au/research/degrees/available-projects/projects/medical-research/australian-multiple-sclerosis-carers-study,julie.campbell@utas.edu.au
18 July 2022,Assisting working people with Multiple Sclerosis,Prof Ingrid van der Mei,"Multiple Sclerosis (MS) is a complex neurological disorder of the central nervous system which causes a wide variety of symptoms including problems with fatigue, walking difficulties, pain, cognitive issues, and difficulties with speech, bladder function, and vision. Nearly a third of the total cost of MS in Australia results from a loss of income due to sickness and early retirement.",https://www.utas.edu.au/research/degrees/available-projects/projects/medical-research/assisting-working-people-with-multiple-sclerosis,https://www.utas.edu.au/profiles/staff/menzies/ingrid-van-der-mei
18 July 2022,Analysing gene expression and blood cells,Dr Kirsten Fairfax,"Bone marrow failure syndromes (BMFS) are a collection of heterogeneous disorders characterized by decreased production of one or more major hematopoietic lineages, which may be either inherited or acquired. BMFS is caused by inefficient haematopoiesis in the bone marrow (BM) stem cells, which means the number of red blood cells, white blood cells and platelets are insufficient to meet physiological needs. Approximately 160 Australians, the majority of whom are children or adolescents, are diagnosed with a BMFS each year. More than 50 percent of these patients will die from their disease. The outcome of these patients has greatly improved in recent years but is still poor for patients who lack a sibling donor and who failed or relapsed after immunosuppressive therapy.",https://www.utas.edu.au/research/degrees/available-projects/projects/medical-research/analysing-gene-expression-and-blood-cells,kirsten.fairfax@utas.edu.au
18 July 2022,A multi-omics study of Multiple Sclerosis,Dr Yuan Zhou,"Multiple sclerosis (MS) is a devastating autoimmune neurodegenerative disease of the central nervous system, caused by an interplay between environmental and genetic factors. So far, genome-wide association studies (GWAS) for MS have identified &gt;200 susceptibility regions. However, these susceptibility loci can only explain 38% of the heritability of MS while the remaining heritability has been left unexplained. A better understanding of the pathophysiology of MS will greatly improve preventive, diagnostic, therapeutic and reparative strategies.",https://www.utas.edu.au/research/degrees/available-projects/projects/medical-research/a-multi-omics-study-of-multiple-sclerosis,Yuan.Zhou@utas.edu.au
18 July 2022,Stochastic Models for Conservation,Prof Barbara Holland,"In populations of endangered species, management strategies referred to as genetic rescue have been advocated in order to help avoid extinction. An example of considerable concern in the Australian context is the conservation management of Tasmanian Devils suffering from the Devil Facial Tumour Disease (DFTD), which puts them in danger of extinction. Conservation strategies have been used with the hope of increasing the genetic diversity of the wild population, but this remains a challenging problem. An important factor in this context is the ability to assess the impact of conservation efforts.",https://www.utas.edu.au/research/degrees/available-projects/projects/mathematics/stochastic-models-for-conservation,https://www.utas.edu.au/profiles/staff/maths-physics/Barbara-Holland
